lang,mode,n,block,rep,time_s,gflops,cycles,instructions,ipc,cache_references,cache_misses,branches,branch_misses
cpp,1,1024,0,1,3.578,0.600191,15881977607,7626986267,0.480229,2585221608,462735402,1095949306,3366666
cpp,2,1024,0,1,0.301,7.134497,1390118112,8649429039,6.222082,285648973,3538491,1084367474,2144354
cpp,1,1536,0,1,15.962,0.454063,70584297383,25716403759,0.364336,6471110598,2746703063,3694733938,10693550
cpp,2,1536,0,1,1.189,6.095675,5375859548,29162508729,5.424716,1051225799,12568721,3647299405,5015392
cpp,1,2048,0,1,42.713,0.402216,188885255445,60928792085,0.322570,25113907051,8417413504,8751886723,23851650
cpp,2,2048,0,1,3.265,5.261828,14671887835,68991160827,4.702269,2784462485,33214118,8639611610,9276435
cpp,1,2560,0,1,88.447,0.379373,391214301770,119000686426,0.304183,52654027421,17646486680,17094365334,45531584
cpp,2,2560,0,1,6.477,5.180551,28987298058,134668582641,4.645779,6886788490,96562083,16864841187,14786681
cpp,1,3072,0,1,157.582,0.367948,697125422973,205588203563,0.294908,97293170471,31293762252,29535452429,76867493
cpp,2,3072,0,1,11.344,5.111253,50695912692,232664055676,4.589405,11823369476,188265339,29128490838,22675891
cpp,2,4096,0,1,27.040,5.082802,120524943048,551168155003,4.573063,27939727937,454266803,68970182895,42492162
cpp,2,6144,0,1,93.731,4.948805,416509682344,1858889866153,4.463017,93835762348,1619057109,232628345596,110069076
cpp,2,8192,0,1,220.386,4.989027,978127157529,4405124033082,4.503631,220602114183,3571029883,551134521147,213982416
cpp,2,10240,0,1,430.874,4.984018,1910974866771,8601539763861,4.501127,432979855119,7506047104,1076111109766,362835499
cpp,3,4096,128,1,21.601,6.362620,96430212585,488608434703,5.066964,22347475638,2292020546,70018661765,564515050
cpp,3,6144,128,1,73.137,6.342296,325414095581,1648178179213,5.064864,77183428155,8235083027,236142976883,1887152491
cpp,3,8192,128,1,190.655,5.767022,846801230414,3906196863200,4.612885,215929115688,35725766087,559600992761,4462708221
cpp,3,10240,128,1,336.156,6.388354,1492374781427,7627404213863,5.110917,345824608854,34030774164,1092622947307,8679249153
cpp,3,4096,256,1,22.744,6.042866,101479833095,485366755777,4.782889,25523897059,3014896276,69474619353,293141449
cpp,3,6144,256,1,76.147,6.091592,338564501384,1637156142333,4.835581,93059348358,9681535498,234333357890,972355041
cpp,3,8192,256,1,199.567,5.509486,886118804295,3880267481738,4.378947,197047678914,40710208638,555275393342,2294495468
cpp,3,10240,256,1,352.421,6.093518,1564081058828,7576739789765,4.844212,398151379124,46266630346,1084221958049,4444871494
cpp,3,4096,512,1,22.000,6.247225,98170505506,483686728969,4.927007,20409042397,2762779937,69204745276,157225255
cpp,3,6144,512,1,70.449,6.584287,313472667029,1631599878630,5.204919,70568812640,6092772392,233389671639,512970661
cpp,3,8192,512,1,175.171,6.276790,778299180299,3866739869351,4.968192,163227293861,22054302964,553083601645,1203241268
cpp,3,10240,512,1,326.507,6.577144,1449411378858,7550877736807,5.209617,331989314297,27938600883,1079913349292,2319660464
java,1,1024,0,1,3,0.715828,NA,NA,NA,NA,NA,NA,NA
java,2,1024,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
java,1,1536,0,1,14,0.517697,NA,NA,NA,NA,NA,NA,NA
java,2,1536,0,1,1,7.247757,NA,NA,NA,NA,NA,NA,NA
java,1,2048,0,1,39,0.440509,NA,NA,NA,NA,NA,NA,NA
java,2,2048,0,1,3,5.726623,NA,NA,NA,NA,NA,NA,NA
java,1,2560,0,1,73,0.459650,NA,NA,NA,NA,NA,NA,NA
java,2,2560,0,1,7,4.793490,NA,NA,NA,NA,NA,NA,NA
java,1,3072,0,1,145,0.399876,NA,NA,NA,NA,NA,NA,NA
java,2,3072,0,1,13,4.460158,NA,NA,NA,NA,NA,NA,NA
