lang,mode,n,block,threads,rep,time_s,gflops,speedup,efficiency,cycles,instructions,ipc,cache_references,cache_misses,branches,branch_misses
cpp,1,1024,0,0,1,2.31,0.929647,NA,NA,19846952388,13623623746,0.686434,2948149339,88409700,1957341652,5316576
cpp,1,1024,0,0,2,2.35,0.913823,NA,NA,19696168371,13894351648,0.705434,2521950465,101282179,2076997509,4232086
cpp,1,1536,0,0,1,12.169,0.595592,NA,NA,100359200341,53743514877,0.535512,11726385451,1395174222,8007418504,10444174
cpp,1,1536,0,0,2,12.245,0.591895,NA,NA,104862471548,54570334178,0.520399,15086993301,1599293559,7834019484,10597618
cpp,1,2048,0,0,1,31.533,0.544822,NA,NA,266682154856,88002083453,0.329989,27221080617,4206625154,12758694826,20809348
cpp,1,2048,0,0,2,93.383,0.183972,NA,NA,790630006973,116284431629,0.147078,36335541399,29006079516,17126380382,19727336
cpp,1,2560,0,0,1,79.914,0.419882,NA,NA,677620302519,195157355573,0.288004,59271822929,13570330426,28978585398,39181817
cpp,1,2560,0,0,2,80.999,0.414257,NA,NA,682383794749,194864732546,0.285565,59694952547,13346388441,28884582242,26975855
cpp,1,3072,0,0,1,203.754,0.284569,NA,NA,1692019325666,363075806397,0.214581,113542629910,52023178468,53655277983,131914976
cpp,1,3072,0,0,2,391.242,0.1482,NA,NA,2865575464460,383858734114,0.133955,101972025588,95581582029,54997634282,37525626
cpp,4,1024,0,4,1,0.694,3.094357,3.32853,0.832133,21104906395,15160047759,0.718319,2938365056,24709309,2170603255,2276324
cpp,4,1024,0,4,2,1.349,1.591908,1.742031,0.435508,30020991542,16212918803,0.540053,2470198243,109480762,2321080749,2525176
cpp,4,1536,0,4,1,2.69,2.694334,4.523792,1.130948,78793908945,51142335653,0.649065,11468733977,326421592,7318041498,5100466
cpp,4,1536,0,4,2,5.339,1.357512,2.293501,0.573375,124334412469,54968830367,0.442105,8475678995,773271784,7870742908,6028680
cpp,4,2048,0,4,1,12.994,1.322139,2.426735,0.606684,327437281447,112342032725,0.343095,24210705872,2639219953,16076316712,8767179
cpp,4,2048,0,4,2,20.156,0.852345,4.633013,1.158253,471299462153,125785719067,0.266891,29350935359,5133672766,18007035215,11305109
cpp,4,2560,0,4,1,50.997,0.657969,1.567033,0.391758,1502508189670,237938267057,0.158361,75656052170,37418466402,34069585811,16476498
cpp,4,2560,0,4,2,52.092,0.644138,1.554922,0.388731,1282304049787,243139695641,0.189612,64706804958,25448482516,34812868595,19384274
cpp,4,3072,0,4,1,99.279,0.584031,2.052337,0.513084,2974574481764,411985477843,0.138502,119797113637,74428442587,58998211824,25342803
cpp,4,3072,0,4,2,102.186,0.567417,3.828724,0.957181,2548231573938,418043130209,0.164052,112061015316,64689500828,59864623370,30210374
cpp,5,1024,0,4,1,18.568,0.115655,0.124408,0.031102,145429237871,181938808078,1.251047,2383194531,40812728,31318911685,232646943
cpp,5,1024,0,4,2,25.779,0.083304,0.091159,0.02279,164092684824,194639860182,1.186158,2883633996,397751663,33584040377,265885838
cpp,5,1536,0,4,1,46.412,0.156161,0.262195,0.065549,378878842257,438738785677,1.157992,9736128248,822662401,75086972246,540401628
cpp,5,1536,0,4,2,59.313,0.122195,0.206447,0.051612,414492797011,456708512445,1.101849,10901477699,1306106125,78299132161,606875977
cpp,5,2048,0,4,1,87.045,0.197368,0.362261,0.090565,786816824246,802987506171,1.020552,27008684923,2693319203,136531542676,959847553
cpp,5,2048,0,4,2,109.262,0.157236,0.85467,0.213668,837666223660,845232129195,1.009032,28299817925,3142665155,144046704967,1074236988
cpp,5,2560,0,4,1,144.865,0.231626,0.551645,0.137911,1382688197610,1324569598825,0.957967,61642953417,6437285466,224064108374,1541309918
