mode,mode_label,n,threads,samples,avg_time_s,avg_gflops,avg_speedup,avg_efficiency,avg_cycles,avg_instructions,avg_ipc,avg_cache_references,avg_cache_misses,avg_branches,avg_branch_misses
1,V1 Serial,1024,0,2,2.33,0.921735,NA,NA,19771560379.5,13758987697,0.695934,2735049902,94845939.5,2017169580.5,4774331
1,V1 Serial,1536,0,2,12.207,0.593743,NA,NA,102610835944.5,54156924527.5,0.527956,13406689376,1497233890.5,7920718994,10520896
1,V1 Serial,2048,0,2,62.458,0.364397,NA,NA,528656080914.5,102143257541,0.238533,31778311008,16606352335,14942537604,20268342
1,V1 Serial,2560,0,2,80.4565,0.417069,NA,NA,680002048634,195011044059.5,0.286784,59483387738,13458359433.5,28931583820,33078836
1,V1 Serial,3072,0,2,297.498,0.216385,NA,NA,2278797395063,373467270255.5,0.174268,107757327749,73802380248.5,54326456132.5,84720301
4,V1 Parallel,1024,4,2,1.0215,2.343133,2.535281,0.63382,25562948968.5,15686483281,0.629186,2704281649.5,67095035.5,2245842002,2400750
4,V1 Parallel,1536,4,2,4.0145,2.025923,3.408646,0.852162,101564160707,53055583010,0.545585,9972206486,549846688,7594392203,5564573
4,V1 Parallel,2048,4,2,16.575,1.087242,3.529874,0.882468,399368371800,119063875896,0.304993,26780820615.5,3886446359.5,17041675963.5,10036144
4,V1 Parallel,2560,4,2,51.5445,0.651053,1.560978,0.390244,1392406119728.5,240538981349,0.173986,70181428564,31433474459,34441227203,17930386
4,V1 Parallel,3072,4,2,100.7325,0.575724,2.940531,0.735133,2761403027851,415014304026,0.151277,115929064476.5,69558971707.5,59431417597,27776588.5
5,V1 Alternative,1024,4,2,22.1735,0.099479,0.107784,0.026946,154760961347.5,188289334130,1.218603,2633414263.5,219282195.5,32451476031,249266390.5
5,V1 Alternative,1536,4,2,52.8625,0.139178,0.234321,0.05858,396685819634,447723649061,1.12992,10318802973.5,1064384263,76693052203.5,573638802.5
5,V1 Alternative,2048,4,2,98.1535,0.177302,0.608466,0.152116,812241523953,824109817683,1.014792,27654251424,2917992179,140289123821.5,1017042270.5
5,V1 Alternative,2560,4,2,162.838,0.208601,0.49981,0.124953,1433742584820.5,1340216946157.5,0.935566,60759691648.5,7239844108.5,226903880708.5,1621477606
5,V1 Alternative,3072,4,2,257.939,0.226946,1.128661,0.282165,2450034446286.5,2003327547033,0.818211,108869946786.5,17007201799,337517801697.5,2357160263
2,V2 Serial,1024,0,2,0.431,4.982802,NA,NA,3685208257,12137511565.5,3.294462,205874194.5,39195461.5,1538404137,1940444
2,V2 Serial,1536,0,2,1.931,3.75653,NA,NA,16557722118,42462349057.5,2.565541,809090259,574921021.5,5371668971,4363905.5
2,V2 Serial,2048,0,2,4.5805,3.752285,NA,NA,37957644476.5,93497039916.5,2.460044,1685745021,1373197501,12147143623,9743840
2,V2 Serial,2560,0,2,9.257,3.627849,NA,NA,75810915176,183878659169.5,2.422275,3290490349,2818947541.5,24096678350,18836577
2,V2 Serial,3072,0,2,17.2525,3.39726,NA,NA,130555861819.5,351555757073.5,2.690309,6718525964.5,5880534655.5,44382618335,22714871.5
6,V2 Parallel,1024,4,2,0.2715,8.398516,1.682752,0.420688,6504731343,20819928076,3.242366,286946059.5,46172241,2607349601,2656354.5
6,V2 Parallel,1536,4,2,1.0225,7.326823,1.96228,0.49057,22590247961,61572704858,2.738426,963828144,429604307.5,7709475536.5,5183517.5
6,V2 Parallel,2048,4,2,2.483,7.116846,1.904091,0.476023,55448496135,144471829374,2.613836,2472235090,1391758969,18080715267.5,9195033.5
6,V2 Parallel,2560,4,2,4.6895,7.295605,2.004569,0.501142,103093001669.5,269398320665.5,2.61805,5051964716.5,2705255078.5,33707474288,13725732.5
6,V2 Parallel,3072,4,2,7.9205,7.358012,2.173173,0.543293,175532817053,461398019480.5,2.629044,8561934376,5799611395,57722518391.5,19622099.5
7,V2 Alternative,1024,4,2,7.573,0.289843,0.058112,0.014528,52899383034.5,74212294794,1.406266,898834457,165799854.5,12471027099.5,86750522
7,V2 Alternative,1536,4,2,17.426,0.422847,0.113076,0.028269,129654908174.5,182846578864,1.410349,2476545628.5,829743833.5,30300015338.5,191451283
7,V2 Alternative,2048,4,2,30.9805,0.561656,0.1501,0.037525,239430452999,353260240479,1.475307,5278852276.5,2311277155,57825127098,337693879.5
7,V2 Alternative,2560,4,2,50.3795,0.676783,0.186025,0.046506,404580464080,603051216212.5,1.490572,9647531523,4692592946,97762953140,532917053.5
7,V2 Alternative,3072,4,2,73.3695,0.802306,0.235696,0.058924,607448464655.5,935935022070.5,1.540532,15758583739,8111359607,150398680205.5,763690802.5
