categoria,estacao,preco,desconto,tendencia,margem,historico_vendas,unidades
Casaco,Primavera,35.68,20,0,0.4,1,16
Vestido,Verão,17.9,20,1,0.2,119,135
Saia,Inverno,13.23,10,0,0.22,10,9
Sweater,Outono,63.54,50,0,0.59,63,76
T-shirt,Inverno,88.86,0,0,0.3,24,27
Vestido,Verão,64.75,0,1,0.39,68,96
Calças,Verão,72.97,0,1,0.53,41,58
Sweater,Inverno,128.23,20,0,0.46,83,78
Saia,Outono,33.14,0,0,0.38,30,28
Vestido,Primavera,139.68,20,1,0.58,65,77
Sweater,Inverno,103.23,10,0,0.45,65,72
Sweater,Outono,15.66,20,0,0.4,50,70
Saia,Inverno,107.37,0,0,0.44,9,12
Vestido,Verão,133.27,10,0,0.25,79,67
Sweater,Outono,55.41,0,0,0.61,45,45
Sweater,Inverno,84.77,10,0,0.32,62,68
T-shirt,Inverno,60.91,50,1,0.31,12,24
T-shirt,Outono,95.34,10,0,0.33,44,36
Casaco,Verão,147.99,0,0,0.54,1,16
Casaco,Verão,98.69,10,0,0.58,23,16
Vestido,Verão,81.69,0,0,0.28,99,77
T-shirt,Outono,57.75,0,1,0.59,42,48
T-shirt,Inverno,84.15,0,0,0.6,13,23
Vestido,Outono,111.63,30,1,0.55,34,46
Vestido,Inverno,24.21,20,0,0.27,25,28
T-shirt,Inverno,109.71,0,0,0.54,24,22
T-shirt,Inverno,23.11,0,0,0.31,31,19
Vestido,Outono,121.27,10,0,0.42,16,33
Vestido,Inverno,100.37,0,1,0.63,16,22
Saia,Outono,144.91,30,0,0.37,21,22
T-shirt,Verão,141.06,20,0,0.24,102,92
T-shirt,Inverno,107.58,20,0,0.33,25,22
Saia,Inverno,81.59,10,1,0.49,12,13
Casaco,Verão,23.16,10,0,0.41,15,1
Sweater,Primavera,15.23,20,0,0.26,20,31
Saia,Outono,21.95,0,0,0.44,9,22
T-shirt,Inverno,47.92,10,0,0.21,28,26
Saia,Primavera,34.26,0,0,0.45,50,56
Saia,Outono,102.0,10,1,0.22,20,28
T-shirt,Verão,129.76,20,0,0.24,80,90
Sweater,Primavera,65.79,10,0,0.22,23,36
T-shirt,Inverno,102.22,0,0,0.49,19,17
Casaco,Verão,90.27,0,1,0.57,14,18
Vestido,Inverno,48.35,0,0,0.22,27,5
Saia,Verão,105.43,0,0,0.42,81,60
Casaco,Primavera,122.49,0,0,0.54,22,17
Calças,Primavera,118.7,0,1,0.59,53,57
T-shirt,Verão,136.36,10,1,0.34,110,106
Casaco,Outono,79.02,0,0,0.47,53,49
Saia,Verão,146.39,50,0,0.53,79,88
T-shirt,Primavera,127.39,10,0,0.38,72,49
Sweater,Outono,91.38,30,1,0.31,61,88
Casaco,Outono,77.43,0,1,0.31,37,58
Calças,Inverno,90.01,20,1,0.57,49,66
T-shirt,Outono,76.88,0,0,0.4,46,38
Saia,Inverno,83.88,50,0,0.45,31,18
Sweater,Outono,73.64,10,0,0.61,45,59
Casaco,Primavera,48.83,0,0,0.36,4,19
Casaco,Primavera,105.86,0,1,0.57,30,33
Calças,Verão,140.58,30,0,0.21,39,38
T-shirt,Verão,126.08,10,0,0.22,75,95
Saia,Verão,137.84,10,1,0.54,59,73
T-shirt,Outono,48.46,0,1,0.54,5,40
Vestido,Outono,53.09,20,1,0.24,28,60
Saia,Primavera,99.51,20,1,0.48,81,81
Vestido,Outono,136.58,0,0,0.55,37,27
Saia,Primavera,30.59,30,0,0.32,53,68
Saia,Verão,98.68,0,0,0.26,47,63
T-shirt,Outono,132.4,10,1,0.47,30,51
Calças,Primavera,14.45,10,0,0.36,57,49
Vestido,Primavera,22.92,10,0,0.43,59,70
Sweater,Verão,96.56,0,0,0.54,12,3
Sweater,Outono,84.5,0,0,0.44,47,43
Calças,Outono,55.09,0,0,0.25,75,58
Vestido,Primavera,79.78,0,0,0.46,68,59
T-shirt,Primavera,60.83,10,0,0.36,64,63
Sweater,Primavera,31.4,0,0,0.28,22,19
Saia,Inverno,149.62,30,0,0.61,7,12
Sweater,Outono,124.92,20,0,0.41,64,63
Casaco,Primavera,84.18,20,1,0.24,18,29
Vestido,Primavera,61.69,10,0,0.45,53,68
Saia,Primavera,116.43,10,0,0.39,52,51
Casaco,Outono,19.31,20,0,0.58,40,61
Sweater,Outono,33.0,20,0,0.44,54,69
Sweater,Inverno,74.78,0,1,0.43,63,88
Sweater,Primavera,136.91,10,0,0.62,21,19
Saia,Primavera,84.68,30,1,0.27,56,70
Sweater,Inverno,89.78,20,1,0.35,85,93
Saia,Inverno,30.99,0,1,0.52,14,25
Vestido,Outono,58.4,0,1,0.46,34,34
Casaco,Verão,92.07,10,0,0.21,12,15
Casaco,Primavera,139.15,20,0,0.46,34,17
T-shirt,Verão,137.5,0,0,0.27,72,80
Sweater,Outono,41.84,10,0,0.53,54,65
Vestido,Outono,68.03,30,1,0.41,31,48
Vestido,Inverno,137.78,0,0,0.27,21,7
Vestido,Verão,40.81,0,0,0.64,93,77
Saia,Inverno,80.31,10,0,0.54,7,10
Saia,Primavera,15.12,10,0,0.23,74,42
Casaco,Primavera,66.11,10,0,0.28,22,24
Calças,Outono,100.16,10,0,0.27,60,54
Vestido,Inverno,37.46,10,0,0.35,16,23
Calças,Outono,44.04,20,1,0.57,45,73
Calças,Outono,98.65,20,1,0.26,73,78
T-shirt,Outono,97.47,0,1,0.36,27,49
Sweater,Primavera,71.06,0,1,0.54,20,33
Sweater,Outono,121.98,10,0,0.32,53,59
Sweater,Verão,126.89,50,0,0.28,10,7
Sweater,Verão,87.58,20,1,0.29,9,17
Casaco,Primavera,103.11,0,1,0.39,13,21
Casaco,Verão,113.32,0,0,0.31,1,1
T-shirt,Outono,51.6,10,0,0.5,42,43
Casaco,Outono,46.72,10,0,0.42,67,51
Saia,Primavera,20.52,20,0,0.51,59,56
Saia,Inverno,107.26,0,0,0.36,7,12
Casaco,Verão,144.14,20,0,0.54,11,9
Calças,Primavera,100.53,20,0,0.5,31,61
Sweater,Outono,107.64,0,1,0.64,80,66
Vestido,Verão,83.14,10,0,0.36,97,83
Vestido,Inverno,71.74,10,0,0.56,27,22
T-shirt,Inverno,69.75,30,0,0.41,29,22
Vestido,Outono,11.33,0,0,0.22,14,32
T-shirt,Verão,22.84,0,0,0.53,54,77
Calças,Inverno,110.18,10,0,0.61,37,39
Casaco,Inverno,143.9,20,0,0.46,101,86
Sweater,Primavera,148.49,20,0,0.38,32,22
Sweater,Verão,16.57,0,0,0.63,14,15
T-shirt,Primavera,139.89,50,0,0.38,61,76
Vestido,Verão,97.21,20,0,0.6,78,76
